code_str,labels
"for(int i=0; i<0; i++) {
    f = 4
}
for(int i=0; i<3; i++) {
    r = 2
}
for(int i=0; i<3; i++) {
    u = 1
}
f = 1
for(int i=0; i<3; i++) {
    m = 0
}
for(int i=0; i<2; i++) {
    i = 4
}
f = 4
END","[0, 1, 1, 1, 1]"
"f = 2
for(int i=0; i<1; i++) {
    s = 1
}
e = 0
v = 3
n = 1
g = 2
if(g < 1) {
    f = 5
}
else {
    b = 0
}
c = 3
END","[1, 0]"
"b = 1
d = 3
if(d >= 2) {
    c = 0
}
else {
    l = 2
}
n = 5
if(n <= 4) {
    u = 2
}
else if(n > 1) {
    k = 0
}
else {
    h = 5
}
for(int i=0; i<1; i++) {
    z = 3
}
for(int i=0; i<2; i++) {
    q = 4
}
t = 5
END","[1, 0, 1, 1, 1]"
"for(int i=0; i<1; i++) {
    z = 2
}
for(int i=0; i<1; i++) {
    w = 3
}
l = 3
END","[1, 1]"
"n = 3
y = 4
t = 3
END",[]
"k = 4
v = 2
a = 1
e = 5
v = 3
if(v <= 2) {
    i = 2
}
else if(v > 5) {
    o = 2
}
END","[0, 0]"
"u = 0
q = 5
t = 0
if(t > 1) {
    p = 4
}
else {
    y = 4
}
for(int i=0; i<2; i++) {
    u = 2
}
i = 5
o = 1
END","[0, 1]"
"c = 1
for(int i=0; i<1; i++) {
    r = 2
}
for(int i=0; i<1; i++) {
    m = 2
}
k = 4
z = 4
END","[1, 1]"
"k = 2
if(k > 2) {
    a = 4
}
else if(k == 0) {
    k = 0
}
else if(k <= 0) {
    x = 4
}
q = 2
u = 5
END","[0, 0, 0]"
"u = 3
j = 3
t = 2
for(int i=0; i<2; i++) {
    x = 0
}
i = 1
if(i == 1) {
    s = 1
}
else if(i <= 5) {
    z = 5
}
else if(i == 4) {
    t = 1
}
END","[1, 1, 1, 0]"
"f = 4
for(int i=0; i<3; i++) {
    w = 5
}
a = 0
j = 5
END",[1]
"n = 0
for(int i=0; i<2; i++) {
    s = 5
}
n = 0
j = 2
if(j == 0) {
    p = 1
}
else if(j >= 0) {
    o = 0
}
else if(j == 1) {
    q = 2
}
END","[1, 0, 1, 0]"
"for(int i=0; i<3; i++) {
    t = 0
}
g = 4
for(int i=0; i<2; i++) {
    l = 0
}
o = 0
if(o >= 4) {
    k = 0
}
n = 3
if(n <= 0) {
    x = 1
}
else if(n < 0) {
    j = 0
}
else if(n == 3) {
    s = 0
}
o = 5
if(o >= 1) {
    d = 0
}
else if(o == 2) {
    n = 5
}
else {
    v = 1
}
d = 3
END","[1, 1, 0, 0, 0, 1, 1, 0]"
"f = 5
for(int i=0; i<1; i++) {
    c = 1
}
w = 4
l = 1
END",[1]
"y = 3
for(int i=0; i<0; i++) {
    m = 2
}
l = 4
if(l >= 2) {
    g = 0
}
else if(l == 0) {
    f = 4
}
else if(l <= 3) {
    d = 0
}
END","[0, 1, 0, 0]"
"a = 0
v = 0
if(v >= 0) {
    x = 4
}
else if(v <= 3) {
    m = 1
}
else if(v <= 3) {
    b = 4
}
for(int i=0; i<3; i++) {
    j = 2
}
l = 3
c = 5
if(c == 2) {
    j = 0
}
else if(c >= 5) {
    y = 4
}
k = 1
END","[1, 1, 1, 1, 0, 1]"
"d = 3
if(d == 0) {
    t = 0
}
else if(d >= 1) {
    p = 1
}
else if(d == 5) {
    f = 4
}
for(int i=0; i<1; i++) {
    h = 1
}
for(int i=0; i<0; i++) {
    t = 3
}
q = 3
for(int i=0; i<2; i++) {
    q = 1
}
for(int i=0; i<1; i++) {
    a = 0
}
END","[0, 1, 0, 1, 0, 1, 1]"
